date_key,full_date,day,month,month_name,quarter,year,week_day,weekend_flag
20170920,2017-09-20,20,9,September,3,2017,Wednesday,False
20170921,2017-09-21,21,9,September,3,2017,Thursday,False
20170922,2017-09-22,22,9,September,3,2017,Friday,False
20170923,2017-09-23,23,9,September,3,2017,Saturday,True
20170924,2017-09-24,24,9,September,3,2017,Sunday,True
20170925,2017-09-25,25,9,September,3,2017,Monday,False
20170926,2017-09-26,26,9,September,3,2017,Tuesday,False
20170927,2017-09-27,27,9,September,3,2017,Wednesday,False
20170928,2017-09-28,28,9,September,3,2017,Thursday,False
20170929,2017-09-29,29,9,September,3,2017,Friday,False
20170930,2017-09-30,30,9,September,3,2017,Saturday,True
20171001,2017-10-01,1,10,October,4,2017,Sunday,True
20171002,2017-10-02,2,10,October,4,2017,Monday,False
20171003,2017-10-03,3,10,October,4,2017,Tuesday,False
20171004,2017-10-04,4,10,October,4,2017,Wednesday,False
20171005,2017-10-05,5,10,October,4,2017,Thursday,False
20171006,2017-10-06,6,10,October,4,2017,Friday,False
20171007,2017-10-07,7,10,October,4,2017,Saturday,True
20171008,2017-10-08,8,10,October,4,2017,Sunday,True
20171009,2017-10-09,9,10,October,4,2017,Monday,False
20171010,2017-10-10,10,10,October,4,2017,Tuesday,False
20171011,2017-10-11,11,10,October,4,2017,Wednesday,False
20171012,2017-10-12,12,10,October,4,2017,Thursday,False
20171013,2017-10-13,13,10,October,4,2017,Friday,False
20171014,2017-10-14,14,10,October,4,2017,Saturday,True
20171015,2017-10-15,15,10,October,4,2017,Sunday,True
20171016,2017-10-16,16,10,October,4,2017,Monday,False
20171017,2017-10-17,17,10,October,4,2017,Tuesday,False
20171018,2017-10-18,18,10,October,4,2017,Wednesday,False
20171019,2017-10-19,19,10,October,4,2017,Thursday,False
20171020,2017-10-20,20,10,October,4,2017,Friday,False
20171021,2017-10-21,21,10,October,4,2017,Saturday,True
20171022,2017-10-22,22,10,October,4,2017,Sunday,True
20171023,2017-10-23,23,10,October,4,2017,Monday,False
20171024,2017-10-24,24,10,October,4,2017,Tuesday,False
20171025,2017-10-25,25,10,October,4,2017,Wednesday,False
20171026,2017-10-26,26,10,October,4,2017,Thursday,False
20171027,2017-10-27,27,10,October,4,2017,Friday,False
20171028,2017-10-28,28,10,October,4,2017,Saturday,True
20171029,2017-10-29,29,10,October,4,2017,Sunday,True
20171030,2017-10-30,30,10,October,4,2017,Monday,False
20171031,2017-10-31,31,10,October,4,2017,Tuesday,False
20171101,2017-11-01,1,11,November,4,2017,Wednesday,False
20171102,2017-11-02,2,11,November,4,2017,Thursday,False
20171103,2017-11-03,3,11,November,4,2017,Friday,False
20171104,2017-11-04,4,11,November,4,2017,Saturday,True
20171105,2017-11-05,5,11,November,4,2017,Sunday,True
20171106,2017-11-06,6,11,November,4,2017,Monday,False
20171107,2017-11-07,7,11,November,4,2017,Tuesday,False
20171108,2017-11-08,8,11,November,4,2017,Wednesday,False
20171109,2017-11-09,9,11,November,4,2017,Thursday,False
20171110,2017-11-10,10,11,November,4,2017,Friday,False
20171111,2017-11-11,11,11,November,4,2017,Saturday,True
20171112,2017-11-12,12,11,November,4,2017,Sunday,True
20171113,2017-11-13,13,11,November,4,2017,Monday,False
20171114,2017-11-14,14,11,November,4,2017,Tuesday,False
20171115,2017-11-15,15,11,November,4,2017,Wednesday,False
20171116,2017-11-16,16,11,November,4,2017,Thursday,False
20171117,2017-11-17,17,11,November,4,2017,Friday,False
20171118,2017-11-18,18,11,November,4,2017,Saturday,True
20171119,2017-11-19,19,11,November,4,2017,Sunday,True
20171120,2017-11-20,20,11,November,4,2017,Monday,False
20171121,2017-11-21,21,11,November,4,2017,Tuesday,False
20171122,2017-11-22,22,11,November,4,2017,Wednesday,False
20171123,2017-11-23,23,11,November,4,2017,Thursday,False
20171124,2017-11-24,24,11,November,4,2017,Friday,False
20171125,2017-11-25,25,11,November,4,2017,Saturday,True
20171126,2017-11-26,26,11,November,4,2017,Sunday,True
20171127,2017-11-27,27,11,November,4,2017,Monday,False
20171128,2017-11-28,28,11,November,4,2017,Tuesday,False
20171129,2017-11-29,29,11,November,4,2017,Wednesday,False
20171130,2017-11-30,30,11,November,4,2017,Thursday,False
20171201,2017-12-01,1,12,December,4,2017,Friday,False
20171202,2017-12-02,2,12,December,4,2017,Saturday,True
20171203,2017-12-03,3,12,December,4,2017,Sunday,True
20171204,2017-12-04,4,12,December,4,2017,Monday,False
20171205,2017-12-05,5,12,December,4,2017,Tuesday,False
20171206,2017-12-06,6,12,December,4,2017,Wednesday,False
20171207,2017-12-07,7,12,December,4,2017,Thursday,False
20171208,2017-12-08,8,12,December,4,2017,Friday,False
20171209,2017-12-09,9,12,December,4,2017,Saturday,True
20171210,2017-12-10,10,12,December,4,2017,Sunday,True
20171211,2017-12-11,11,12,December,4,2017,Monday,False
20171212,2017-12-12,12,12,December,4,2017,Tuesday,False
20171213,2017-12-13,13,12,December,4,2017,Wednesday,False
20171214,2017-12-14,14,12,December,4,2017,Thursday,False
20171215,2017-12-15,15,12,December,4,2017,Friday,False
20171216,2017-12-16,16,12,December,4,2017,Saturday,True
20171217,2017-12-17,17,12,December,4,2017,Sunday,True
20171218,2017-12-18,18,12,December,4,2017,Monday,False
20171219,2017-12-19,19,12,December,4,2017,Tuesday,False
20171220,2017-12-20,20,12,December,4,2017,Wednesday,False
20171221,2017-12-21,21,12,December,4,2017,Thursday,False
20171222,2017-12-22,22,12,December,4,2017,Friday,False
20171223,2017-12-23,23,12,December,4,2017,Saturday,True
20171224,2017-12-24,24,12,December,4,2017,Sunday,True
20171225,2017-12-25,25,12,December,4,2017,Monday,False
20171226,2017-12-26,26,12,December,4,2017,Tuesday,False
20171227,2017-12-27,27,12,December,4,2017,Wednesday,False
20171228,2017-12-28,28,12,December,4,2017,Thursday,False
20171229,2017-12-29,29,12,December,4,2017,Friday,False
20171230,2017-12-30,30,12,December,4,2017,Saturday,True
20171231,2017-12-31,31,12,December,4,2017,Sunday,True
20180101,2018-01-01,1,1,January,1,2018,Monday,False
20180102,2018-01-02,2,1,January,1,2018,Tuesday,False
20180103,2018-01-03,3,1,January,1,2018,Wednesday,False
20180104,2018-01-04,4,1,January,1,2018,Thursday,False
20180105,2018-01-05,5,1,January,1,2018,Friday,False
20180106,2018-01-06,6,1,January,1,2018,Saturday,True
20180107,2018-01-07,7,1,January,1,2018,Sunday,True
20180108,2018-01-08,8,1,January,1,2018,Monday,False
20180109,2018-01-09,9,1,January,1,2018,Tuesday,False
20180110,2018-01-10,10,1,January,1,2018,Wednesday,False
20180111,2018-01-11,11,1,January,1,2018,Thursday,False
20180112,2018-01-12,12,1,January,1,2018,Friday,False
20180113,2018-01-13,13,1,January,1,2018,Saturday,True
20180114,2018-01-14,14,1,January,1,2018,Sunday,True
20180115,2018-01-15,15,1,January,1,2018,Monday,False
20180116,2018-01-16,16,1,January,1,2018,Tuesday,False
20180117,2018-01-17,17,1,January,1,2018,Wednesday,False
20180118,2018-01-18,18,1,January,1,2018,Thursday,False
20180119,2018-01-19,19,1,January,1,2018,Friday,False
20180120,2018-01-20,20,1,January,1,2018,Saturday,True
20180121,2018-01-21,21,1,January,1,2018,Sunday,True
20180122,2018-01-22,22,1,January,1,2018,Monday,False
20180123,2018-01-23,23,1,January,1,2018,Tuesday,False
20180124,2018-01-24,24,1,January,1,2018,Wednesday,False
